;Rougher;recovers the material from the stream;;;;;;
;Cleaner ;Cleans an input stream;;;;;;
"""Lumpensammler""";Scavanger;machines to get back good material ;;;;;;
;;;;;;;;
Process Step-ID;Segment;Country;Segment Code;StepCode;ProcessStep;Infeed Material description;Main Material for ejection;conflicting material 
DE-W01-001;Mixed Light Packaging;DE;W01;001;FKN Rougher;Typically first machine in a plant after some pre treatment of material. Shooting all sort of Tetrapack material;FKN;PE-LD, ALU, PAPER
DE-W01-002;Mixed Light Packaging;DE;W01;002;FKN Cleaner;Material from FKN machine (typically  FKN positive stream);All materials except FKN;
DE-W01-003;Mixed Light Packaging;DE;W01;003;ALU Cleaner  (eventuell in AT?);;All materials except ALU;
DE-W01-004;Mixed Light Packaging;DE;W01;004;ALU Cleaner (in principle FKN Rougher);Material coming from Eddy Current Separator;FKN;
DE-W01-005;Mixed Light Packaging;DE;W01;005;PE Rigid Rougher;;PE-HD;
DE-W01-006;Mixed Light Packaging;DE;W01;006;PE Rigid Rougher without Silicone (GAIN);;PE-HD;PE-LD, SILICONE Cartridge
DE-W01-007;Mixed Light Packaging;DE;W01;007;PE Film;;PE-LD;
DE-W01-008;Mixed Light Packaging;DE;W01;008;PE Rigid Cleaner with Silicone (GAIN);;;
DE-W01-009;Mixed Light Packaging;DE;W01;009;PE Rigid Cleaner;;All materials except HDPE;
DE-W01-010;Mixed Light Packaging;DE;W01;010;PE Film Cleaner;Material coming from PE Film sorting machine (positive or negative);All materials except LDPE;
DE-W01-011;Mixed Light Packaging;DE;W01;011;PP-Rigid;;PP;
DE-W01-012;Mixed Light Packaging;DE;W01;012;PP-Rigid Cleaner;;All materials except PP;
DE-W01-013;Mixed Light Packaging;DE;W01;013;PP Flexible Rougher;;;
DE-W01-014;Mixed Light Packaging;DE;W01;014;PP Flexible Cleaner;;;
DE-W01-015;Mixed Light Packaging;DE;W01;015;PAPER Rougher;;PAPER;
DE-W01-016;Mixed Light Packaging;DE;W01;016;PAPER Cleaner;;;
DE-W01-017;Mixed Light Packaging;DE;W01;017;MPO Rougher;;;
DE-W01-018;Mixed Light Packaging;DE;W01;018;MPO Cleaner;;MPO;
DE-W01-019;Mixed Light Packaging;DE;W01;019;PET Rougher;;;
DE-W01-020;Mixed Light Packaging;DE;W01;020;PET Cleaner;;PET;
DE-W01-021;Mixed Light Packaging;DE;W01;021;PET Bottles Rougher ;;;
DE-W01-022;Mixed Light Packaging;DE;W01;022;PET Bottles Cleaner;;PET Bottle;
DE-W01-023;Mixed Light Packaging;DE;W01;023;PET Tray Rougher;;PET Tray;
DE-W01-024;Mixed Light Packaging;DE;W01;024;PET Tray Cleaner;;;
DE-W01-025;Mixed Light Packaging;DE;W01;025;PET Multi Mono tray ???;;;
DE-W01-026;Mixed Light Packaging;DE;W01;026;PS Rougher;;PS;
DE-W01-027;Mixed Light Packaging;DE;W01;027;PS Cleaner;;All materials except PS;EPS
DE-W01-028;Mixed Light Packaging;DE;W01;028;SCAVANGER  Rigid PLASTICS;;PP HDPE PET PS;
DE-W01-029;Mixed Light Packaging;DE;W01;029;SCAVANGER  Rigid PLASTICS with GAIN;;;
DE-W01-030;Mixed Light Packaging;DE;W01;030;SCAVANGER Film / Flexible;;PP Film PE Film;
DE-W01-031;Mixed Light Packaging;DE;W01;031;PP PET HDPE PS Rigid Rougher (PLASTICS);;PP HDPE PET PS;
DE-W01-032;Mixed Light Packaging;DE;W01;032;MPO Film / Flexible;;PP Flexible, PE Film, Multilayer Flexibles;
DE-W01-033;Mixed Light Packaging;DE;W01;033;RDF;;PVC;
DE-W01-034;Mixed Light Packaging;DE;W01;034;PE Film natural Rougher;;;
DE-W01-035;Mixed Light Packaging;DE;W01;035;PE Film natural Cleaner;;;
DE-W01-036;Mixed Light Packaging;DE;W01;036;PE Film white Rougher;;;
DE-W01-037;Mixed Light Packaging;DE;W01;037;PE Film white Cleaner;;;
DE-W01-038;Mixed Light Packaging;DE;W01;038;PE Film light colors Rougher;;;
DE-W01-039;Mixed Light Packaging;DE;W01;039;PE Film light colors Cleaner;;;
DE-W01-040;Mixed Light Packaging;DE;W01;040;PE Film colored Rougher;;;
DE-W01-041;Mixed Light Packaging;DE;W01;041;PE Film colored Cleaner;;;
DE-W01-042;Mixed Light Packaging;DE;W01;042;PAPER and CARDBOARD Rougher;;;
DE-W01-043;Mixed Light Packaging;DE;W01;043;PAPER and CARDBOARD Cleaner;;;
DE-W01-044;Mixed Light Packaging;DE;W01;044;Black objects Rougher;;;
DE-W01-045;Mixed Light Packaging;DE;W01;045;SCAVANGER;;;
DE-W01-046;Mixed Light Packaging;DE;W01;046;PE Rigid natural / white Rougher;;;
DE-W01-047;Mixed Light Packaging;DE;W01;047;PE Rigid natural / white Cleaner;;;
DE-W01-048;Mixed Light Packaging;DE;W01;048;PE Rigid colored Rougher;;;
DE-W01-049;Mixed Light Packaging;DE;W01;049;PE Rigid colored Cleaner;;;
;;DE;;;;;;
;;;;;;;;
DE-W02-001;Municipal Solid Waste;DE;W02;001;FKN Rougher;Typically first machine in a LWP plant after some pre treatment of material. Shooting all sort of Tetrapack material;FKN;PE-LD, ALU, PAPER
DE-W02-002;Municipal Solid Waste;DE;W02;002;FKN Cleaner;Material from FKN machine (typically  FKN positive stream);All materials except FKN;
DE-W02-003;Municipal Solid Waste;DE;W02;003;ALU Cleaner  (eventuell in AT?);;All materials except ALU;
DE-W02-004;Municipal Solid Waste;DE;W02;004;ALU Cleaner (in principle FKN Rougher);Material coming from Eddy Current Separator;FKN;
DE-W02-005;Municipal Solid Waste;DE;W02;005;PE Rigid Rougher;;PE-HD;
DE-W02-006;Municipal Solid Waste;DE;W02;006;PE Rigid Rougher without Silicone (GAIN);;PE-HD;PE-LD, SILICONE Cartridge
DE-W02-007;Municipal Solid Waste;DE;W02;007;PE Film;;PE-LD;
DE-W02-008;Municipal Solid Waste;DE;W02;008;PE Rigid Cleaner with Silicone (GAIN);;;
DE-W02-009;Municipal Solid Waste;DE;W02;009;PE Rigid Cleaner;;All materials except HDPE;
